isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780007523498,Eternity's Wheel,"[""Neil Gaiman"", ""Michael Reaves"", ""Mallory Reaves"", ""Reaves""]","[""HarperCollins Publishers Limited""]",2015,,,,,
9780007523504,Eternity's Wheel,"[""Neil Gaiman"", ""Michael Reaves"", ""Mallory Reaves"", ""Reaves""]","[""HARPER COLLINS""]",,,,,,
9780007581955,,,,,,,,,
9780007597710,,,,,,,,,
9780007597727,,,,,,,,,
9780008114343,,,,,,,,,
9780008115586,,,,,,,,,
9780008116361,,,,,,,,,
9780008116378,,,,,,,,,
9780008116392,,,,,,,,,
9780008143626,,,,,,,,,
9780060010607,American Gods,"[""Neil Gaiman""]","[""PerfectBound""]",2001-06,,"[""4404""]",,,
9780060010614,,,,,,,,,
9780060010621,American Gods,"[""Neil Gaiman""]","[""HarperCollins Publishers""]","Sep 05, 2001",,,,,
9780060010829,Stardust,"[""Neil Gaiman""]","[""HarperCollins""]",2001,,,,,
9780060010836,Stardust,"[""Neil Gaiman""]","[""Perfectbound""]","Jul 05, 2001",,,,,
9780060010843,Stardust,"[""Neil Gaiman""]","[""HarperCollins Publishers""]",2001,,,,,
9780060010850,Smoke and Mirrors,"[""Neil Gaiman"", ""Richard Chizmar"", ""William Peter Blatty"", ""Kealan Patrick Burke"", ""Brian Keene"", ""Joe Hill"", ""Joe R. Lansdale"", ""Ray Garton""]","[""HarperCollins""]",2001,,,,,
9780060010867,Smoke and Mirrors,"[""Neil Gaiman"", ""Richard Chizmar"", ""William Peter Blatty"", ""Kealan Patrick Burke"", ""Brian Keene"", ""Joe Hill"", ""Joe R. Lansdale"", ""Ray Garton""]","[""HarperCollins Publishers""]","Jan 05, 2002",,,,,
9780060010874,Smoke And Mirrors,"[""Neil Gaiman"", ""Richard Chizmar"", ""William Peter Blatty"", ""Kealan Patrick Burke"", ""Brian Keene"", ""Joe Hill"", ""Joe R. Lansdale"", ""Ray Garton""]","[""HarperCollins Publishers""]","Jan 05, 2001",,,,,
9780060093648,American Gods,"[""Neil Gaiman""]","[""William Morrow & Co, Inc.""]",2001,,"[""2707900""]",,,
9780060097226,Smoke and Mirrors,"[""Neil Gaiman"", ""Richard Chizmar"", ""William Peter Blatty"", ""Kealan Patrick Burke"", ""Brian Keene"", ""Joe Hill"", ""Joe R. Lansdale"", ""Ray Garton""]","[""HarperCollins Publishers""]",2001,,,,,
9780060097233,Stardust,"[""Neil Gaiman""]","[""HarperCollins Publishers""]",2009,,,,,
9780060509903,,,,,,,,,
9780060515188,Anansi Boys,"[""Neil Gaiman""]","[""William Morrow""]",2005,336.0,"[""59236367""]",,,
9780060515195,Anansi Boys,"[""Neil Gaiman""]","[""HarperTorch""]",2006-10,400.0,"[""59236553""]",,,
9780060515225,Fragile Things,"[""Neil Gaiman""]","[""William Morrow""]","September 26, 2006",400.0,"[""16788""]",,,
9780060515232,Fragile Things,"[""Neil Gaiman""]","[""Harper""]",2010-02,,,,,
9780060521882,Coraline - Diamond Distributors,"[""Neil Gaiman""]","[""HarperCollins Publishers"", ""HarperCollins""]",July 2002,192.0,"[""17063""]",,,
9780060528829,Coraline,"[""Neil Gaiman""]","[""HarperCollins Publishers""]",2002,,,,,
9780060528836,Coraline,"[""Neil Gaiman""]","[""HarperCollins""]",2002,,,,,
9780060528843,Coraline,"[""Neil Gaiman""]","[""Harper Collins""]","May 05, 2002",,,,,
9780060528850,Coraline,"[""Neil Gaiman""]","[""HarperCollins Publishers""]",2002,,,,,
9780060530877,The Wolves in the Walls,"[""Neil Gaiman"", ""Dave McKean""]","[""HarperCollins""]","Aug 05, 2003",56.0,,,,
9780060530921,,,,,,,,,
9780060530938,,,,,,,,,
9780060530945,,,,,,,,,
9780060557812,,,,,,,,,
9780060558123,,,,,,,,,
9780060568955,Coraline,"[""Neil Gaiman""]","[""HarperCollins Publishers""]",2003,,,,,
9780060571528,,,,,,,,,
9780007305087,,,,,,,,,
9780007385034,,,,,,,,,
9780060012335,,,,,,,,,
9780060012342,,,,,,,,,
9780060012359,The amazing Maurice and his educated rodents,"[""Terry Pratchett""]","[""HarperTrophy""]",2003,,,,,
9780060012366,The Wee Free Men,"[""Terry Pratchett"", ""Paul Kidby""]","[""HarperCollins Publishers""]",2003,,,,,
9780060012373,,,,,,,,,
9780060012380,The Wee Free Men,"[""Terry Pratchett"", ""Paul Kidby""]","[""HarperTrophy""]",2004,375.0,,,,
9780060013110,Night watch,"[""Terry Pratchett""]","[""HarperCollins""]",2002,338.0,"[""596884""]",,,
9780060013127,Night Watch,"[""Terry Pratchett""]","[""HarperTorch""]",2003,432.0,,,,
9780060013134,Going postal,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2004,377.0,"[""34539""]",,,
9780060013158,Monstrous regiment,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2003,353.0,"[""513534""]",,,
9780060013165,Monstrous Regiment,"[""Terry Pratchett""]","[""HarperTorch""]",2004,416.0,"[""386371""]",,,
9780060094935,The Bromeliad trilogy,"[""Terry Pratchett""]","[""HarperCollins Publisher""]",2003,502.0,"[""34495"", ""7032996""]",,,
9780060094942,Diggers,"[""Terry Pratchett""]","[""HarperTrophy""]",2004,204.0,"[""47991""]",,,
9780060094959,,,,,,,,,
9780060094966,Truckers,"[""Terry Pratchett""]","[""HarperTrophy""]",2004,261.0,"[""34542""]",,,
9780060177508,,,,,,,,,
9780060177515,Lords and Ladies,"[""Terry Pratchett""]","[""Harpercollins""]",October 1995,,,,,
9780060196455,Fifth Elephant,"[""Terry Pratchett""]","[""CORGI BOOKS (TWLD)""]","May 05, 2000",,,,,
9780060199562,Thief of time,"[""Terry Pratchett""]","[""HarperCollins""]",2001,324.0,"[""34522""]",,,
9780060502935,Going postal,"[""Terry Pratchett""]","[""HarperTorch""]",2004,358.0,,,,
9780060507770,,,,,,,,,
9780060541859,Only You Can Save Mankind,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2005,,,,,
9780060541866,Only you can save mankind,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2005,207.0,"[""607387"", ""3261027""]",,,
9780060541873,,,,,,,,,
9780060541880,Johnny and the dead,"[""Terry Pratchett"", ""Albert Vit\u00f3 i Godina""]","[""HarperCollins"", ""Harpercollins""]",2006,224.0,"[""34528"", ""64390""]",,,
