isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780329515171,,,,,,,,,
9780380409723,Mind of my mind,"[""Octavia E. Butler""]","[""Avon""]",1978,221.0,"[""2473188""]",,,
9780380418060,Patternmaster,"[""Octavia E. Butler"", ""O E Butler"", ""Eugene H. Russell IV""]","[""Avon""]",1979,160.0,"[""1356353""]",,,
9780385121972,Patternmaster,"[""Octavia E. Butler"", ""O E Butler"", ""Eugene H. Russell IV""]","[""Doubleday""]",1976,186.0,"[""256927""]",,,
9780385126007,Mind of my mind,"[""Octavia E. Butler""]","[""Doubleday""]",1977,168.0,"[""1356350""]",,,
9780385133852,Survivor,"[""Octavia E. Butler""]","[""Doubleday""]",1978,185.0,"[""379302""]",,,
9780385150590,Kindred,"[""Octavia E. Butler"", ""SparkNotes""]","[""Doubleday""]",1979,264.0,"[""1356358""]",,,
9780385151603,,,,,,,,,
9780441110896,,,,,,,,,
9780445205161,,,,,,,,,
9780445205376,Wild seed,"[""Octavia E. Butler""]","[""Popular Library""]",1980,279.0,"[""968848""]",,,
9780445207790,Dawn,"[""Octavia E. Butler""]","[""Warner Books""]",1988,248.0,"[""1021982""]",,,
9780445209022,,,,,,,,,
9780445209039,,,,,,,,,
9780445209770,Imago,"[""Octavia E. Butler""]","[""Warner Books""]",1989,220.0,"[""1356352""]",,,
9780446178891,Fledgling,"[""Octavia E. Butler""]","[""Grand Central Publishing""]",2007,,,,,
9780446361880,,,,,,,,,
9780446362818,Pattern-master.,"[""Octavia E. Hill""]","[""Warner"", ""Warner Books""]",1976,202.0,"[""116256""]",,,
9780446507943,Fledgling,"[""Octavia E. Butler""]","[""Grand Central Publishing""]",2007,,,,,
9780446510837,Dawn,"[""Octavia E. Butler""]","[""Grand Central Publishing""]",2007,,,,,
9780446513630,Dawn,"[""Octavia E. Butler""]","[""Warner Books""]",1987,264.0,"[""1021984""]",,,
9780446514224,Adulthood Rites,"[""Octavia E. Butler""]","[""Warner Books""]",1988,277.0,"[""60927""]",,,
9780446514729,Imago,"[""Octavia E. Butler""]","[""Warner Books""]",1989,264.0,"[""2130483""]",,,
9780446545358,Lilith's Brood,"[""Octavia E. Butler""]","[""Grand Central Publishing""]",2008,,,,,
9780446545365,Imago,"[""Octavia E. Butler""]","[""Grand Central Publishing""]",2008,,,,,
9780446545372,Adulthood Rites,"[""Octavia E. Butler""]","[""Grand Central Publishing""]",2008,,,,,
9780446601979,,,,,,,,,
9780446603638,Imago,"[""Octavia E. Butler""]","[""Aspect""]","April 1, 1997",220.0,"[""60934""]",,,
9780446603706,Clay's ark,"[""Octavia E. Butler"", ""Neal Ghant""]","[""Warner Books""]",1996,213.0,"[""60933""]",,,
9780446603775,Dawn,"[""Octavia E. Butler""]","[""Warner Books""]",1997,248.0,,,,
9780446603782,Adulthood rites,"[""Octavia E. Butler""]","[""Warner"", ""Warner Books""]",1997,277.0,"[""116249""]",,,
9780446606721,Wild seed,"[""Octavia E. Butler""]","[""Warner Books""]",1999,279.0,"[""764647""]",,,
9780446610384,Parable of the talents,"[""Octavia E. Butler""]","[""Warner Books""]",2001,448.0,"[""60932""]",,,
9780446675505,Parable of the Sower,"[""Octavia E. Butler""]","[""Warner Books""]",2000,345.0,"[""52397""]",,,
9780446675789,Parable of the Talents,"[""Octavia E. Butler""]","[""Warner Books""]","January 1, 2000",424.0,,,,
9780446676106,Lilith’s Brood,"[""Octavia E. Butler""]","[""Aspect/Warner Books""]",2000,746.0,"[""60926""]",,,
9780446676977,,,,,,,,,
9780446696166,Fledgling,"[""Octavia E. Butler""]","[""Warner Books""]",2007,310.0,"[""60925""]",,,
9780446698900,Seed to Harvest,"[""Octavia E. Butler""]","[""Grand Central Publishing"", ""Warner Books""]","January 5, 2007",784.0,"[""60924""]",,,
9780446790024,,,,,,,,,
9780446790031,,,,,,,,,
9780451086730,Survivor,"[""Octavia E. Butler""]","[""Signet""]","May 1, 1979",,"[""256890""]",,,
9780002179089,The Canlit foodbook,"[""Margaret Atwood""]","[""Totem Books""]",1987,216.0,"[""1133655""]",,,
9780007113606,The Blind Assassin,"[""Margaret Atwood""]","[""Harpercollins Pub Ltd""]","Sep 30, 2000",,,,,
9780007154746,The Blind Assassin,"[""Margaret Atwood""]","[""HarperCollins Audio""]","January 20, 2003",,"[""441769""]",,,
9780007159703,,,,,,,,,
9780007159710,,,,,,,,,
9780007218448,The Blind Assassin,,,,,,,,
9780007219643,,,,,,,,,
9780007293841,,,,,,,,,
9780007293858,,,,,,,,,
9780007623419,Margaret Atwood Collection,,"[""HarperCollins Audio""]",,,,,,
9780009760679,,,,,,,,,
9780060101633,You are happy,"[""Margaret Atwood""]","[""Harper & Row""]",1974,96.0,"[""694166"", ""7025997""]",,,
9780060101640,You Are Happy,"[""Margaret Atwood""]","[""Harpercollins"", ""HarperCollins""]",June 1975,96.0,"[""694166""]",,,
9780060101664,Power politics,"[""Margaret Atwood""]","[""Harper & Row""]",1973,56.0,"[""2935985"", ""3128794""]",,,
9780060101671,Power politics,"[""Margaret Atwood""]","[""Harper & Row""]",1973,56.0,"[""2935985"", ""3128794""]",,,
9780063032491,Dearly,"[""Margaret Atwood""]","[""Ecco""]",2020,144.0,,,,
9780063032507,Dearly,"[""Margaret Atwood""]","[""Ecco""]","Nov 02, 2021",224.0,,,,
9780063032514,Dearly,"[""Margaret Atwood""]","[""HarperCollins Publishers""]",2020,144.0,,,,
9780063032583,,,,,,,,,
9780063032590,,,,,,,,,
9780099496953,The Handmaid's Tale,"[""Margaret Atwood""]","[""Vintage Books USA""]","Sep 01, 2005",336.0,,,,
9780099511663,The Handmaid's Tale,"[""Margaret Atwood""]","[""Vintage Classics""]","October 7, 2010",336.0,,,,
9780099563143,Handmaid's Tale,"[""Margaret Atwood""]","[""Vintage Books""]","Aug 01, 2011",320.0,,,,
9780099594024,Hag-Seed,"[""Margaret Atwood""]","[""Vintage""]",2017,320.0,,,,
9780099740810,Bodily Harm,"[""Margaret Atwood""]","[""Vintage Books""]",2007,304.0,"[""1179953""]",,,
9780099740919,The Handmaid's Tale,"[""Margaret Atwood""]","[""Vintage Books""]",/2009,324.0,"[""60774420""]",,,
9780099741015,Life before man,"[""Margaret Atwood""]","[""Vintage""]",1996,317.0,"[""1243016""]",,,
9780099741114,Dancing Girls (Contemporary Classics),"[""Margaret Atwood""]","[""Vintage""]","July 5, 2007",240.0,"[""1356554""]",,,
9780099741213,Bluebeard's egg and other stories,"[""Margaret Atwood""]","[""Vintage""]",1996,281.0,"[""856923""]",,,
9780099744719,Bluebeard's egg,"[""Margaret Atwood""]","[""Vintage""]",1996,281.0,"[""856924""]",,,
9780099744917,Dancing girls and other stories,"[""Margaret Atwood""]","[""Vintage""]",1996,240.0,"[""1379773""]",,,
9780099745013,The Handmaid's Tale,"[""Margaret Atwood""]","[""Vintage""]",1996,324.0,"[""941644""]",,,
9780099745112,Life Before Man,"[""Margaret Atwood""]","[""Vintage""]","Sep 26, 1996",,,,,
9780099746614,Bodily harm,"[""Margaret Atwood""]","[""Vintage""]",1996,301.0,"[""319419""]",,,
9780099764816,The Handmaid's Tale,"[""Margaret Atwood""]","[""Vintage""]",,,,,,
9780103863610,,,,,,,,,
9780144000920,The Penelopiad,"[""Margaret Atwood""]","[""Penguin Books""]",2005,162.0,"[""902784""]",,,
9780195401691,The journals of Susanna Moodie,"[""Margaret Atwood""]","[""Oxford University Press""]",1970,64.0,,,,
9780195401752,Procedures for underground,"[""Margaret Atwood""]","[""Oxford University Press""]",1970,79.0,"[""2110604""]",,,
9780195402230,You are happy,"[""Margaret Atwood""]","[""Oxford University Press""]",1974,96.0,"[""1286891""]",,,
9780195402926,Two-headed poems,"[""Margaret Atwood""]","[""Oxford University Press""]",1978,112.0,"[""1539057""]",,,
9780195404517,Interlunar,"[""Margaret Atwood""]","[""Oxford University Press""]",1984,103.0,"[""1537569""]",,,
9780195405613,Selected poems II,"[""Margaret Atwood""]","[""Oxford University Press""]",1986,176.0,"[""859548""]",,,
9780195408089,"Selected Poems, 1966-1984","[""Margaret Atwood""]","[""Oxford University Press""]",1990,320.0,"[""336767""]",,,
9780195413519,Strange things,"[""Margaret Atwood""]","[""Clarendon Press""]",1995,,"[""1735366""]",,,
9780198119760,Strange Things,"[""Margaret Atwood""]","[""Oxford University Press, USA""]","January 18, 1996",160.0,"[""72585""]",,,
9780221042768,,,,,,,,,
9780221042775,,,,,,,,,
9780221067969,,,,,,,,,
9780221068140,,,,,,,,,
9780007305087,Legends : Eleven New Works by the Masters of Modern Fantasy,"[""Robert Silverberg"", ""Orson Scott Card"", ""Stephen King"", ""Robert Jordan"", ""Robert A. Silverberg""]",,,,,,,
9780007385034,Legends,"[""Robert Silverberg"", ""Orson Scott Card"", ""Stephen King"", ""Robert Jordan"", ""Robert A. Silverberg""]","[""HarperCollins Publishers Limited""]",2010,,,,,
9780060877361,,,,,,,,,
9780060877378,,,,,,,,,
9780060877385,,,,,,,,,
9780060877392,The Unicorn Girl,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins""]",2005,,,,,
9780060877408,The Unicorn Girl,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins""]",2005,,,,,
9780060877491,,,,,,,,,
9780060877507,,,,,,,,,
9780060877514,,,,,,,,,
9780060877521,Acorna's Quest,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins""]",2005,,,,,
9780060877538,Acorna's Quest,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins""]",2005,,,,,
9780060877712,,,,,,,,,
9780060877729,,,,,,,,,
9780060877743,,,,,,,,,
9780060877750,Acorna's Rebels,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780060877767,Acorna's Rebels,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780060879648,,,,,,,,,
9780060879655,,,,,,,,,
9780060879662,,,,,,,,,
9780060879679,Acorna's World,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780060879693,Acorna's World,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780060879969,,,,,,,,,
9780060879976,,,,,,,,,
9780060879983,,,,,,,,,
9780060879990,Acorna's Search,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780060880002,Acorna's Search,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780061050039,Dragonflight,"[""Anne McCaffrey""]","[""HarperCollins Publishers""]",March 1993,,"[""784908""]",,,
9780061050954,Acorna's World,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""EOS""]",2000,306.0,"[""491006""]",,,
9780061052965,Acorna,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperPrism""]",1997,291.0,"[""1598829""]",,,
9780061052972,Acorna's Quest,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperPrism""]",1998,292.0,"[""1017629""]",,,
9780061053757,Acorna's Quest (Acorna (Paperback)),"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins Publishers""]",December 2001,,"[""61965""]",,,
9780061055317,A diversity of dragons,"[""Anne McCaffrey""]","[""HarperPrism, a division of HarperCollins Publishers""]",1997,96.0,"[""61944""]",,,
9780061055416,The Unicorn Girl.,"[""Anne McCaffrey"", ""Margaret Ball""]","[""Harpercollins Publishers""]",1998,,,,,
9780061057908,Acorna's Quest,"[""Anne McCaffrey"", ""Margaret Ball""]","[""Eos""]","July 1, 1999",416.0,"[""829806""]",,,
9780061059841,Acorna's World (Acorna),"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperTorch""]","October 1, 2001",384.0,"[""238937""]",,,
9780061121166,,,,,,,,,
9780061121173,,,,,,,,,
9780061160677,Acorna's World,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins Publishers""]",2005,,,,,
9780061160707,,,,,,,,,
9780061160714,Acorna's Rebels,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins Publishers""]",2005,,,,,
9780061160721,,,,,,,,,
9780061160745,Acorna,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins Publishers""]",2005,,,,,
9780061798344,The Unicorn Girl,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins""]",2005,,,,,
9780061807169,Acorna's Quest,"[""Anne McCaffrey"", ""Margaret Ball""]","[""HarperCollins""]",2005,,,,,
9780061808562,Acorna's World,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780061809316,Acorna's Search,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780061809644,Acorna's Rebels,"[""Anne McCaffrey"", ""Elizabeth Ann Scarborough""]","[""HarperCollins""]",2005,,,,,
9780099301424,The Dragonlover's Guide to Pern,"[""Jody Lynn""]","[""Random House UK Ltd (A Division of Random House Group)""]","December 31, 1992",,"[""2181788""]",,,
9780006483700,Fortress of Eagles,"[""C. J. Cherryh""]","[""HarperCollins Publishers Limited""]",1999,,,,,
9780006483915,Fortress of owls,"[""C. J. Cherryh""]","[""Voyager""]",2000,406.0,"[""1792874""]",,,
9780060010690,Hammerfall,"[""C. J. Cherryh""]","[""HarperCollins""]",2001,,,,,
9780060010706,Hammerfall,"[""C. J. Cherryh""]","[""HarperCollins Publishers Limited""]",2001,,,,,
9780060010713,Hammerfall,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2001,,,,,
9780060097509,,,,,,,,,
9780060729585,,,,,,,,,
9780060729592,,,,,,,,,
9780060729608,Forge of Heaven,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762742,,,,,,,,,
9780060762759,,,,,,,,,
9780060762766,,,,,,,,,
9780060762773,Fortress of Dragons,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762780,,,,,,,,,
9780060762797,Fortress of Eagles,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762803,Fortress of Eagles,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762810,,,,,,,,,
9780060762827,,,,,,,,,
9780060762834,Fortress of Owls,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762841,Fortress of Owls,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762902,Fortress in the Eye of Time,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2004,,,,,
9780060762919,,,,,,,,,
9780060762926,Fortress in the Eye of Time,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762933,Fortress in the Eye of Time,"[""C. J. Cherryh""]","[""HarperCollins""]",2004,,,,,
9780060762940,,,,,,,,,
9780060762988,,,,,,,,,
9780060771140,,,,,,,,,
9780060820022,,,,,,,,,
9780060873646,,,,,,,,,
9780060873653,,,,,,,,,
9780060873660,,,,,,,,,
9780060873677,Fortress of Ice,"[""C. J. Cherryh""]","[""HarperCollins""]",2006,,,,,
9780060873684,Fortress of Ice,"[""C. J. Cherryh""]","[""HarperCollins""]",2006,,,,,
9780061020087,Fortress of owls,"[""C. J. Cherryh""]","[""HarperPrism""]",2000,550.0,,,,
9780061020445,,,,,,,,,
9780061050541,Fortress of owls,"[""C. J. Cherryh""]","[""HarperPrism""]",1999,406.0,"[""338453""]",,,
9780061050558,Fortress of dragons,"[""C. J. Cherryh""]","[""EOS""]",2000,422.0,"[""2616663""]",,,
9780061051951,Fortress in the Eye of Time,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]","May 05, 1995",,,,,
9780061052606,Hammerfall,"[""C. J. Cherryh""]","[""Eos""]",2001,390.0,"[""531132""]",,,
9780061052613,Fortress of eagles,"[""C. J. Cherryh""]","[""HarperPrism""]",1998,335.0,"[""2616664""]",,,
9780061056895,,,,,,,,,
9780061057090,Hammerfall (The Gene Wars),"[""C. J. Cherryh""]","[""Eos""]","July 30, 2002",464.0,"[""57064""]",,,
9780061057106,Fortress of eagles,"[""C. J. Cherryh""]","[""HarperPrism""]",1999,478.0,,,,
9780061092954,Fortress in the eye of time,"[""C. J. Cherryh""]","[""HarperPrism""]",1995,568.0,"[""1598842""]",,,
9780061155550,,,,,,,,,
9780061156656,Fortress of Owls,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2004,,,,,
9780061156663,Fortress of Eagles,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2004,,,,,
9780061156670,Fortress of Dragons,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2004,,,,,
9780061156687,Fortress in the Eye of Time,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2004,,,,,
9780061188640,Hammerfall,"[""C. J. Cherryh""]","[""HarperCollins Publishers""]",2001,,,,,
9780141996516,Warm Worlds and Otherwise,"[""James Tiptree, Jr.""]","[""Penguin Books, Limited""]",2021,,,,,
9780142414385,The Starry Rift,,"[""Firebird""]","Jul 30, 2009",544.0,,,,
9780241469231,Ten Thousand Light-Years from Home,"[""James Tiptree, Jr.""]","[""Penguin Books, Limited""]",2020,368.0,,,,
9780241481776,,,,,,,,,
9780241509753,Warm Worlds and Otherwise,"[""James Tiptree, Jr.""]","[""Penguin Books, Limited""]",2021,,,,,
9780312076634,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""St. Martin's Press""]",December 2000,,"[""25067""]",,,
9780312854072,,,,,,,,,
9780312858742,Meet me at infinity,"[""James Tiptree, Jr.""]","[""Tor""]",2000,396.0,"[""1960249""]",,,
9780312869380,Meet Me At Infinity,"[""James Tiptree, Jr.""]","[""Tor Books""]","June 2, 2001",396.0,"[""27063""]",,,
9780312890216,The starry rift,"[""James Tiptree, Jr.""]","[""Orb""]",1994,250.0,"[""27066""]",,,
9780312930974,Brightness falls from the air,"[""James Tiptree, Jr.""]","[""T. Doherty Associates"", ""Distributed by St. Martin's Press""]",1985,382.0,"[""862434""]",,,
9780312931056,Crown of stars,"[""James Tiptree, Jr.""]","[""T. Doherty Associates""]",1988,340.0,"[""919252""]",,,
9780312937447,,,,,,,,,
9780330248952,Ten Thousand Light Years from Home,"[""James Tiptree, Jr.""]","[""Pan Books / Macmillan""]",1977,255.0,"[""2443577""]",,,
9780330259170,Up the walls of the world,"[""James Tiptree, Jr.""]","[""Pan Books"", ""Macmillan""]",1980,311.0,"[""1876043""]",,,
9780345243805,Warm Worlds & Otherwise,"[""James Tiptree, Jr.""]","[""Ballantine Books"", ""Ballantine Del Rey"", ""Brand: Ballantine Del Rey""]","January 12, 1975",222.0,"[""1640371""]",,,
9780345254177,,,,,,,,,
9780345280220,Warm Worlds and Otherwise,"[""James Tiptree, Jr.""]","[""Del Rey"", ""Ballantine Books""]","January 12, 1979",222.0,"[""216317""]",,,
9780345284853,"Out of the Everywhere, and Other Extraordinary Visions","[""James Tiptree, Jr.""]","[""Ballantine"", ""Ballantine Del Rey""]",1981,276.0,"[""27065""]",,,
9780385196536,,,,,,,,,
9780399120831,,,,,,,,,
9780413334206,,,,,,,,,
9780425038802,,,,,,,,,
9780441801817,Ten Thousand Light Years from Home,"[""James Tiptree, Jr.""]","[""Ace Books""]",1978,374.0,"[""27061""]",,,
9780441854714,Up the Walls of the World,"[""James Tiptree, Jr.""]","[""Ace Books""]",January 1984,311.0,"[""91056""]",,,
9780575024922,Up the walls of the world,"[""James Tiptree, Jr.""]","[""Gollancz"", ""Victor Gollancz"", ""Orion Publishing Group, Limited""]",1978,319.0,,,,
9780575124028,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Orion Publishing Group, Limited""]",2015,,,,,
9780670060597,The Starry Rift,"[""Jonathan Strahan""]","[""Viking Juvenile"", ""Viking""]","April 17, 2008",560.0,"[""2509832""]",,,
9780722185339,Brightness falls from the air.,"[""James Tiptree, Jr.""]","[""Sphere""]",1986,352.0,"[""2037268""]",,,
9780739455128,Her Smoke Rose Up Forever,"[""James Tiptree, Jr.""]","[""SFBC Science Fiction Printing""]",2004,,"[""216336""]",,,
9780747400899,The starry rift.,"[""James Tiptree, Jr.""]","[""Sphere""]",1988,250.0,"[""3422573""]",,,
9780747404712,Crown of stars.,"[""James Tiptree, Jr.""]","[""Sphere""]",1990,340.0,"[""3471533""]",,,
9780759205253,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Open Road Integrated Media, Inc.""]",2001,,,,,
9780759205260,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Open Road Integrated Media, Inc.""]",2001,,,,,
9780759205284,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Open Road Integrated Media, Inc.""]",2001,,,,,
9780759210592,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Open Road Integrated Media, Inc.""]",2001,,,,,
9780759262539,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""ereads.com""]",2001,,,,,
9780759274044,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Open Road Integrated Media, Inc.""]",2001,,,,,
9780812503388,Crown of stars,"[""James Tiptree, Jr.""]","[""T. Doherty Associates""]",1990,340.0,"[""216318""]",,,
9780812556254,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Tor Books""]",April 1986,,"[""322545""]",,,
9780812556278,The Starry Rift,"[""James Tiptree, Jr.""]","[""Tom Doherty Associates"", ""Tor Books""]","March 15, 1989",256.0,"[""1640219""]",,,
9780812556285,,,,,,,,,
9780839823223,,,,,,,,,
9780870541520,,,,,,,,,
9780870541605,,,,,,,,,
9780966896824,Fantasy Annual,"[""E. C. Tubb""]","[""Prime Books""]",December 1999,132.0,,,,
9780996135962,,,,,,,,,
9781101391938,,,,,,,,,
9781306589475,Brightness Falls from the Air,"[""James Tiptree, Jr.""]","[""Open Road Integrated Media, Inc.""]",2014,,,,,
9781436229883,,,,,,,,,
9780007118267,Passage,"[""Connie Willis""]","[""Bantam 2002""]","May 09, 2002",608.0,,,,
9780307571946,Bellwether,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307573421,Fire Watch,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307573612,Lincoln's Dreams,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307573667,Miracle,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307573728,Passage,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307573889,Remake,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307574084,,,,,,,,,
9780307574152,Uncharted Territory,"[""Connie Willis""]","[""Random House Publishing Group""]",2009,,,,,
9780307784445,,,,,,,,,
9780307784452,,,,,,,,,
9780312941628,Fire watch,"[""Connie Willis""]","[""Bluejay Books""]",1985,274.0,"[""1381657""]",,,
9780312942885,Lincoln's Dreams,"[""Connie Willis""]","[""St. Martin's Press""]",1999,,,,,
9780345519641,Blackout,"[""Connie Willis""]","[""Spectra""]","Jan 28, 2010",511.0,,,,
9780345519832,Blackout,"[""Connie Willis""]","[""Spectra""]","September 14, 2010",528.0,,,,
9780345522696,,,,,,,,,
9780345540645,The Best Of Connie Willis Awardwinning Stories,"[""Connie Willis""]","[""Del Rey""]",2013,473.0,,,,
9780345540652,The Best of Connie Willis: Award-Winning Stories,"[""Connie Willis""]","[""Del Rey""]","Jul 09, 2013",498.0,,,,
9780345540669,The Best of Connie Willis: Award-Winning Stories,"[""Connie Willis""]","[""Del Rey""]","Apr 22, 2014",496.0,,,,
9780345540676,Crosstalk,"[""Connie Willis""]","[""Del Rey""]",2016,498.0,,,,
9780345540683,Crosstalk,"[""Connie Willis""]","[""Random House Publishing Group""]",2016,,,,,
9780345540690,Crosstalk,"[""Connie Willis""]","[""Del Rey""]","Aug 01, 2017",512.0,,,,
9780399182341,A lot like Christmas,"[""Connie Willis""]",,2017,518.0,,,,
9780399182358,A Lot Like Christmas: Stories,"[""Connie Willis""]","[""Del Rey""]","Oct 10, 2017",545.0,,,,
9780441004058,Promised land,"[""Cynthia Felice"", ""Connie Willis""]","[""Ace Books""]",1997,362.0,"[""890565""]",,,
9780441005437,Promised land,"[""Cynthia Felice""]","[""Ace Books""]",1998,362.0,,,,
9780441483112,Light raid,"[""Cynthia Felice""]","[""Ace Books""]",1989,229.0,"[""1381656""]",,,
9780441483129,Light raid,"[""Connie Willis"", ""Cynthia Felice""]","[""Ace Books""]",,,"[""209708""]",,,
9780441873791,Water Witch,"[""Cynthia Felice"", ""Connie Willis""]","[""Ace Books""]",January 1982,,"[""1381632""]",,,
9780441873807,Water witch,"[""Connie Willis"", ""Cynthia Felice""]","[""Ace Books""]",,,"[""387115""]",,,
9780446677424,,"[""Connie Willis""]","[""Warner Aspect""]",2001,302.0,,,,
9780450579868,Doomsday book,"[""Connie Willis""]","[""New EnglishLibrary""]",1992,527.0,"[""938335""]",,,
9780450579875,Doomsday book,"[""Connie Willis""]","[""New English LIbrary""]",1993,650.0,"[""938333""]",,,
9780450617485,Uncharted territory,"[""Connie Willis""]","[""New English Library""]",1994,224.0,"[""938338""]",,,
9780533575381,,,,,,,,,
9780553051971,Lincoln's dreams,"[""Connie Willis""]","[""Bantam""]",1987,212.0,"[""1381690""]",,,
9780553081312,Doomsday book,"[""Connie Willis""]","[""Bantam Books""]",1992,445.0,"[""1119222"", ""1119221""]",,,
9780553099959,,,,,,,,,
9780553111118,,,,,,,,,
9780553111248,,,,,,,,,
9780553260458,,,,,,,,,
9780553270259,Lincoln's dreams,"[""Connie Willis""]","[""Bantam Books""]",1992,228.0,,,,
9780553351675,Doomsday book,"[""Connie Willis""]","[""Bantam Books""]",1992,445.0,"[""1119222"", ""1119221""]",,,
9780553374377,,,,,,,,,
9780553375626,Bellwether,"[""Connie Willis""]","[""Bantam Books""]",1996,247.0,"[""1206542""]",,,
9780553562736,,,,,,,,,
9780553562941,Uncharted territory,"[""Connie Willis""]","[""Bantam Books""]",1994,149.0,,,,
9780553562965,Bellwether,"[""Connie Willis""]","[""Bantam Books""]",1997,247.0,"[""24985""]",,,
9780553564365,Impossible things,"[""Connie Willis""]","[""Bantam Books""]",1994,461.0,"[""24987""]",,,
9780553574418,Remake,"[""Connie Willis""]","[""Bantam Books""]",1996,140.0,"[""776378""]",,,
9780007133604,"CURSE OF CHALION (CHALION, NO 1)","[""Lois McMaster Bujold""]","[""HarperCollins""]",2002,416.0,"[""1118388""]",,,
9780007133611,The Curse of Chalion,"[""Lois McMaster Bujold""]","[""Harpercollins Pub Ltd""]","Jan 31, 2003",416.0,,,,
9780007138494,,,,,,,,,
9780060010720,Curse of Chalion,"[""Lois McMaster Bujold""]","[""HarperCollins Publishers""]",2001,,,,,
9780060010737,Curse of Chalion,"[""Lois McMaster Bujold""]","[""HarperCollins Publishers""]",2001,,,,,
9780060010744,The Curse of Chalion,"[""Lois McMaster Bujold""]","[""HarperCollins""]",2001,,,,,
9780060097073,The Curse of Chalion,"[""Lois McMaster Bujold""]","[""Harpercollins Publishers""]","May 07, 2001",,,,,
9780060573348,Paladin of Souls,"[""Lois McMaster Bujold""]","[""HarperCollins Publishers""]",2003,,,,,
9780060573355,Paladin of Souls,"[""Lois McMaster Bujold""]","[""Eos""]","May 07, 2003",,,,,
9780060573362,Paladin of Souls,"[""Lois McMaster Bujold""]","[""HarperCollins Publishers""]",2003,,,,,
9780060573379,Paladin of Souls,"[""Lois McMaster Bujold""]","[""HarperCollins""]",2003,,,,,
9780060574628,The Hallowed Hunt,"[""Lois McMaster Bujold""]","[""Eos""]",2005,470.0,"[""556820""]",,,
